"FAZENDA";"PROJETO";"ESPACAMENTO";"TALHAO";"MATGEN";"ARVORE";"DAP";"HT";"hi";"di_cc";"e_casca"
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";11;15,11971959;26,9;6;13,52817016;4
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";11;15,11971959;26,9;8;12,73239545;4
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";11;15,11971959;26,9;10;12,09577567;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";11;15,11971959;26,9;12;10,82253613;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";11;15,11971959;26,9;14;10,3450713;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";11;15,11971959;26,9;16;9,071831756;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";11;15,11971959;26,9;18;7,957747155;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";11;15,11971959;26,9;20;7,002817496;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";11;15,11971959;26,9;22;5,888732894;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";11;15,11971959;26,9;24;4,13802852;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";11;15,11971959;26,9;26;1,909859317;1
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";12;15,27887454;27,75;0,1;16,87042397;6
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";12;15,27887454;27,75;0,5;15,59718442;5
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";12;15,27887454;27,75;1;15,43802948;6
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";12;15,27887454;27,75;1,5;15,27887454;5
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";12;15,27887454;27,75;2;15,11971959;5
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";12;15,27887454;27,75;4;14,64225476;5
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";12;15,27887454;27,75;6;13,36901522;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";12;15,27887454;27,75;8;12,5732405;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";12;15,27887454;27,75;10;11,77746579;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";12;15,27887454;27,75;12;10,66338119;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";12;15,27887454;27,75;14;9,549296586;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";12;15,27887454;27,75;16;8,594366927;3
