"CLONE";"TALHAO";"ARVORE";"TORA";"DAP";"HT";"hi";"di_cc";"e_casca";"comp_secao"
9318;2;22;7;17,3;20;6,5;14;3;1
9318;2;22;8;17,3;20;7,5;14;3;1
9318;2;22;9;17,3;20;8,5;13,5;3;1
9318;2;22;10;17,3;20;9,5;13;3;1
9318;2;22;11;17,3;20;10,5;12,5;3;1
9318;2;22;12;17,3;20;11,5;12;3;1
9318;2;22;13;17,3;20;12,5;11,5;2;1
9318;2;22;14;17,3;20;13,5;10,5;2;1
9318;2;22;15;17,3;20;14,5;10;1;1
9318;2;22;16;17,3;20;15,5;9,5;10;1
9318;2;22;17;17,3;20;16,5;8,5;8;1
9318;2;22;18;17,3;20;17,5;8;7;1
9318;2;22;19;17,3;20;18,5;7,5;6;1
9318;2;22;20;17,3;20;19,5;7;5;1
9318;2;23;1;16,7;20;0,5;17;4;1
9318;2;23;2;16,7;20;1,5;16,5;4;1
9318;2;23;3;16,7;20;2,5;16;4;1
9318;2;23;4;16,7;20;3,5;15;3;1
9318;2;23;5;16,7;20;4,5;15;3;1
9318;2;23;6;16,7;20;5,5;15;3;1
9318;2;23;7;16,7;20;6,5;14;3;1
9318;2;23;8;16,7;20;7,5;14;3;1
9318;2;23;9;16,7;20;8,5;13;3;1
9318;2;23;10;16,7;20;9,5;13;2;1
9318;2;23;11;16,7;20;10,5;12,5;3;1
9318;2;23;12;16,7;20;11,5;12,5;2;1
9318;2;23;13;16,7;20;12,5;11,5;2;1
9318;2;23;14;16,7;20;13,5;10,5;2;1
9318;2;23;15;16,7;20;14,5;10;1;1
9318;2;23;16;16,7;20;15,5;9,5;10;1
9318;2;23;17;16,7;20;16,5;9;9;1
9318;2;23;18;16,7;20;17,5;8;7;1
9318;2;23;19;16,7;20;18,5;7,5;7;1
9318;2;23;20;16,7;20;19,5;7;5;1
9318;2;24;1;15,7;20;0,5;16;5;1
9318;2;24;2;15,7;20;1,5;15,5;5;1
9318;2;24;3;15,7;20;2,5;15;4;1
9318;2;24;4;15,7;20;3,5;14,5;4;1
9318;2;24;5;15,7;20;4,5;14;4;1
9318;2;24;6;15,7;20;5,5;14;5;1
9318;2;24;7;15,7;20;6,5;13,5;3;1
9318;2;24;8;15,7;20;7,5;13;3;1
9318;2;24;9;15,7;20;8,5;12,5;4;1
9318;2;24;10;15,7;20;9,5;12;4;1
9318;2;24;11;15,7;20;10,5;12;3;1
9318;2;24;12;15,7;20;11,5;11,5;2;1
9318;2;24;13;15,7;20;12,5;10,5;3;1
9318;2;24;14;15,7;20;13,5;10;2;1
9318;2;24;15;15,7;20;14,5;9,5;2;1
9318;2;24;16;15,7;20;15,5;8,5;1;1
9318;2;24;17;15,7;20;16,5;8;10;1
9318;2;24;18;15,7;20;17,5;8;8;1
9318;2;24;19;15,7;20;18,5;7;8;1
9318;2;24;20;15,7;20;19,5;6;5;1
9318;2;25;1;17,7;21;0,5;18;6;1
9318;2;25;2;17,7;21;1,5;17,5;6;1
9318;2;25;3;17,7;21;2,5;17;5;1
9318;2;25;4;17,7;21;3,5;16,5;4;1
9318;2;25;5;17,7;21;4,5;16;4;1
9318;2;25;6;17,7;21;5,5;15,5;3;1
9318;2;25;7;17,7;21;6,5;15;3;1
9318;2;25;8;17,7;21;7,5;14,5;3;1
9318;2;25;9;17,7;21;8,5;14;3;1
9318;2;25;10;17,7;21;9,5;13,5;3;1
9318;2;25;11;17,7;21;10,5;13;3;1
9318;2;25;12;17,7;21;11,5;12,5;3;1
9318;2;25;13;17,7;21;12,5;12;3;1
9318;2;25;14;17,7;21;13,5;11,5;3;1
9318;2;25;15;17,7;21;14,5;11;2;1
9318;2;25;16;17,7;21;15,5;10,5;2;1
9318;2;25;17;17,7;21;16,5;10;8;1
9318;2;25;18;17,7;21;17,5;9;8;1
9318;2;25;19;17,7;21;18,5;8;9;1
9318;2;25;20;17,7;21;19,5;7,5;6;1
9318;2;25;21;17,7;21;20,5;6;6;1
9318;2;26;1;16,2;20;0,5;16,5;5;1
9318;2;26;2;16,2;20;1,5;16;4;1
9318;2;26;3;16,2;20;2,5;15;4;1
9318;2;26;4;16,2;20;3,5;15;5;1
9318;2;26;5;16,2;20;4,5;14,5;3;1
9318;2;26;6;16,2;20;5,5;14;3;1
9318;2;26;7;16,2;20;6,5;13,5;4;1
9318;2;26;8;16,2;20;7,5;13,5;4;1
9318;2;26;9;16,2;20;8,5;13;3;1
9318;2;26;10;16,2;20;9,5;13;3;1
9318;2;26;11;16,2;20;10,5;12;3;1
9318;2;26;12;16,2;20;11,5;11,5;3;1
